"country","all_domain_score","all_domain_rank","community_score","community_rank","edu_score","edu_rank","health_score","health_rank","indep_score","indep_rank","policy_score","policy_rank"
"Albania",-2.496448,24,-1.756504,40,1.618632,21,-4.097375,33,0.9746428,21,1.188768,22
"Argentina",6.145851,18,1.204246,18,1.427204,22,1.66459,21,1.17078,19,1.266054,19
"Australia",25.99286,6,2.093473,9,8.059643,6,9.227876,9,6.8682,6,0.9282979,25
"Austria",NA,NA,1.284046,15,3.492029,13,3.817502,18,NA,NA,2.378768,7
"Bangladesh",-21.08937,41,-1.68726,38,-5.240834,41,-8.778022,45,-3.824578,40,-4.13449,47
"Botswana",-13.47594,36,-0.3239484,29,-6.408041,44,-1.905494,29,-2.827256,31,-1.087834,37
"Brazil",1.844254,20,-2.417189,45,3.036888,15,0.2899922,24,0.675795,23,-0.2452657,31
"Canada",34.49696,2,2.689899,6,9.360524,5,12.93892,2,9.256637,2,2.497025,4
"Chile",-5.07049,30,-0.947077,32,1.330085,24,-4.138247,34,-2.628432,29,1.631456,15
"Colombia",-4.300509,29,-2.091973,44,2.610205,19,-1.499326,28,-3.232953,38,1.75746,13
"Dominican Republic",-3.803224,27,0.4746195,21,1.34897,23,-6.529232,38,-0.4191923,25,1.070511,23
"El Salvador",-2.246544,23,-1.607762,37,-2.263178,32,1.955264,20,1.153614,20,-2.284398,40
"Estonia",5.339396,19,1.204549,17,-4.963838,38,10.01668,6,-2.859,32,2.905161,2
"Germany",23.00639,7,2.689899,6,3.844565,11,7.379616,11,7.401897,5,2.740446,3
"Ghana",-26.04566,43,-3.22601,47,-3.526555,35,-8.339553,41,-5.599891,46,-7.70541,50
"Guatemala",-12.10352,34,-0.2283069,26,-3.310949,34,-5.705337,37,-2.763077,30,-0.3867356,34
"Indonesia",-25.71364,42,-3.971783,49,-7.681738,48,-8.380908,42,-5.599891,46,-0.6944386,35
"Italy",33.17921,3,2.01337,11,10.54702,1,12.55315,3,7.528155,4,2.497025,4
"Ireland",20.84488,9,3.499326,1,3.196346,14,9.374876,8,3.190134,13,1.993134,10
"Jamaica",-2.129359,22,1.1881,19,-0.7342029,29,0.5136256,23,-2.972399,34,-0.1162566,30
"Japan",6.806571,17,-0.1485091,22,4.59459,10,0.0506046,26,1.223101,17,1.710097,14
"Kenya",-16.5386,39,-0.2547043,27,-3.993581,36,-8.563013,43,-2.975631,35,-2.977232,43
"Kosovo",1.408652,21,-0.2177531,25,3.559378,12,-3.705624,32,1.749637,15,1.513968,16
"Kyrgyzstan",NA,NA,NA,NA,-6.408041,44,-7.143251,40,-2.976444,36,-3.655567,46
"Liberia",-29.46583,45,-3.162962,46,-8.361125,49,-9.070185,46,-4.781097,43,-7.43038,49
"Lithuania",20.78415,10,1.880472,14,4.864499,8,9.648301,7,3.839057,12,0.4403304,29
"Malta",22.09519,8,2.013975,10,9.682467,2,6.594948,13,4.39896,11,1.070511,23
"Myanmar",NA,NA,-1.010731,33,-4.391109,37,NA,NA,-4.407949,42,1.373061,17
"Netherlands",28.25871,4,2.689899,6,2.854281,17,14.15676,1,6.73713,7,2.497025,4
"New Zealand",13.34461,14,-0.2019094,24,1.144917,28,6.129208,15,5.311267,8,0.9282979,25
"Nigeria",-28.29169,44,-3.242459,48,-8.361125,49,-11.07251,48,-5.599891,46,-2.750627,42
"Pakistan",-3.91731,28,1.231251,16,1.202355,26,-3.422125,31,-4.781097,43,3.738577,1
"Peru",NA,NA,1.960575,13,1.330085,24,NA,NA,-1.177578,26,2.02619,9
"Poland",-3.159375,26,-1.02718,35,-1.955761,31,1.071377,22,1.439421,16,-3.00401,44
"Russian Federation",-5.871865,32,-1.08058,36,1.150394,27,-2.289422,30,-4.165112,41,1.248956,20
"Rwanda",-16.08354,38,-0.2711535,28,-3.085613,33,-4.678878,36,-5.121632,45,-2.498923,41
"Saudi Arabia",-15.81039,37,-1.756504,40,-5.655413,43,-4.534724,35,-1.527648,27,-3.241877,45
"Singapore",-2.846172,25,2.770002,5,-7.087428,47,2.566303,19,-0.2539158,24,-1.124649,38
"South Africa",-5.860343,31,-1.010731,33,-1.719279,30,-0.1666707,27,-3.45143,39,0.7151279,28
"Spain",27.42126,5,-0.9051408,31,9.682467,2,8.466339,10,8.086061,3,2.378768,7
"Sri Lanka",-10.13596,33,-0.1904453,23,-5.650981,42,0.2007619,25,-2.015182,28,-1.995723,39
"Sweden",20.46045,11,3.499326,1,4.693841,9,6.958357,12,4.590271,9,0.7281172,27
"Switzerland",19.96285,12,3.499326,1,2.666346,18,11.27377,5,2.790753,14,1.238458,21
"Togo",NA,NA,-1.687865,39,-6.850578,46,-6.561554,39,NA,NA,-5.077653,48
"Turkey",9.220196,16,0.5808147,20,2.18013,20,5.248494,16,0.7285233,22,1.365974,18
"Uganda",-18.46893,40,-2.020397,43,-5.089259,39,-8.66786,44,-3.140888,37,-0.2642702,32
"United Kingdom",37.11151,1,3.499326,1,9.682467,2,12.50807,4,11.572,1,1.993134,10
"United States",15.71033,13,2.01337,11,5.341419,7,4.050433,17,4.561389,10,-0.7069763,36
"Uruguay",10.44064,15,-1.767362,42,2.864993,16,6.329782,14,1.206136,18,1.869865,12
"Zimbabwe",-12.52897,35,-0.60632,30,-5.132654,40,-9.242934,47,-2.951284,33,-0.3401802,33
